"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-11","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","258.3","","","","1"
"2019-12","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","248.8","","","","1"
"2020-01","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","287.0","","","","1"
"2020-02","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","289.0","","","","1"
"2020-03","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","363.6","","","","1"
"2020-04","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","535.3","","","","1"
"2020-05","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","602.5","","","","1"
"2020-06","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","522.5","","","","1"
"2020-07","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","525.7","","","","1"
"2020-08","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","498.1","","","","1"
"2020-09","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","424.3","","","","1"
"2020-10","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","387.0","","","","1"
"2020-11","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","383.9","","","","1"
"2020-12","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","373.7","","","","1"
"2021-01","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","416.9","","","","1"
"2021-02","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","359.7","","","","1"
"2021-03","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","346.1","","","","1"
"2021-04","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","371.1","","","","1"
"2021-05","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","349.2","","","","1"
"2021-06","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","358.7","","","","1"
"2021-07","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","344.7","","","","1"
"2021-08","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","351.3","","","","1"
"2021-09","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","315.7","","","","1"
"2021-10","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","291.8","","","","1"
"2021-11","Canada","2016A000011124","Unemployment","High school graduate","Both sexes","15 years and over","Persons","249","thousands","3","v2627977","1.6.4.1.1","258.2","","","","1"
"2019-04","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","97.1","","","","1"
"2019-05","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","120.9","","","","1"
"2019-06","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","120.6","","","","1"
"2019-07","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","102.5","","","","1"
"2019-08","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","106.4","","","","1"
"2019-09","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","92.5","","","","1"
"2019-10","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","92.3","","","","1"
"2019-11","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","86.9","","","","1"
"2019-12","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","72.7","","","","1"
"2020-01","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","94.4","","","","1"
"2020-02","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","93.9","","","","1"
"2020-03","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","139.2","","","","1"
"2020-04","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","226.2","","","","1"
"2020-05","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","357.5","","","","1"
"2020-06","Canada","2016A000011124","Unemployment","Some postsecondary","Both sexes","15 years and over","Persons","249","thousands","3","v2627978","1.6.5.1.1","320.3","","","","1"
